CID,CanonicalSMILES,XLogP,ExactMass,TPSA,HBondDonorCount,HBondAcceptorCount
23018572,COC1=C(C2=CC=CC=C2C=C1C(=O)N)C(=O)O,1.5,245.06880783,89.6,2,4
79912935,CCC1CCC(C1)(C2CCOC3(C2)CCOCC3)O,2.4,268.20384475,38.7,1,3
20279028,CCCC(CCCO)C1CCCCC1,4.9,198.198365449,20.2,1,1
95511290,CCC(C(C1=CC=CC=C1)O)NC(C)C2=CC=CC=C2,3.5,269.177964357,32.3,2,2
138524770,CC1=C(C=C(C=C1)OCC2CC(OC(C2)(C)C)(C)C)[N+](=O)[O-],3.9,307.17835828,64.3,0,4
14569376,CC1=CC=C(C=C1)C2=NN3C=C(N=C3N2C4=CC=C(C=C4)C)C5=CC=CC=C5,5.6,364.16879665,35.1,0,2
65428607,CC1=CC2=C(C(=C1)OC)OC(=C2)C(C(C)(C)C)O,3.6,248.1412445,42.6,1,3
66190797,CC(C1=CC=CC=C1OC)(C(=O)O)NCCN=[N+]=[N-],-0.1,264.12224039,72.9,2,6
39245008,CCC(C(C1=CC=C(C=C1)C(C)(C)C)O)[NH3+],2.8,222.185789389,47.9,2,1
13319253,CC(=O)CC1(OC2(CCCCC2)C3(O1)CCCCC3)O,2.6,282.18310931,55.8,1,4
65063681,CC(C1=C(C2=CC=CC=C2C=C1)O)N(C)CCC(=O)O,0.3,273.13649347,60.8,2,4
52713143,CN(C1CCCCC1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3[N+](=O)[O-],3.9,381.16885622,95.2,1,4
96239687,CC(C)CC1CNC2=C(N1C)C=CO2,3.0,194.141913202,28.4,1,3
46217240,CCC(CC)OC(CO)C=O,0.8,160.109944368,46.5,1,3
10087328,CCCCOC(CCC)ON1C(C2=CC=CC=C2C1(C)C)(C)C,5.1,319.251129295,21.7,0,3
19912363,CCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#CC3=CC4=C(C=C3)C=C(C=C4)CCC,10.6,416.250401021,0.0,0,0
89250614,CC(=O)CCCC(C(C=CC=CCCCC#CCCC1=CC=CC=C1)O)O,4.2,368.23514488,57.5,2,3
10702582,CC1CC2(CCCCC2=O)OC1C,1.9,182.130679813,26.3,0,2
82928760,CCC(CC)COCC1CCCN1,2.2,185.177964357,21.3,1,2
15249547,C1CC(=O)NC2=C(C3=CC=CC=C3OC2=O)NC1=O,-0.2,258.0640568,84.5,2,4
85711144,CCCCC(CC)COC(C=O)O,2.2,188.1412445,46.5,1,3
111488398,CC(CCN(C)CC1=NN=C(O1)C2CC2)O,0.3,225.147726857,62.4,1,5
102464200,C1CC2C3C1CC(C2C(=O)O)C(=O)C3,1.0,194.094294304,54.4,1,3
635322,C1=CC=C2C=C(C=CC2=C1)N3C(=O)C4=CC5=C(C=C4C3=O)C(=O)N(C5=O)C6=CC7=CC=CC=C7C=C6,5.5,468.111007,74.8,0,4
100712680,CCOC1=CC=CC=C1NC(=O)C2=CC(=C(C=C2C)OC)C(C)C,4.6,327.18344366,47.6,1,3
93382376,C1CC(C2=CC=CC=C2C1)NCC(C3=CC=CO3)O,2.0,257.141578849,45.4,2,3
131538623,CCC1C(=O)NC2=C(OC=C2N1C)C(=O)O,0.9,224.07970687,82.8,2,5
82993205,CCC(CC)NC1=C(C=C(C=C1)C(=O)N(C)C)[N+](=O)[O-],3.6,279.15829154,78.2,1,4
68428014,C1C=C2CN(CC2C1=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,4.3,365.177964357,20.3,0,2
